Ingredient Name,Amount Per Serving,Unit,Food Equivalent
Creatine,2500,mg,1lb raw steak
Glycine,1200,mg,1.5-2 cups bone broth
Calcium Alpha-Keto Glutarate (CaAKG),20-40,mg,1-2 Tbsp of milk
L-Lysine (as HCI),1000,mg,4 oz cottage cheese
Taurine,1500,mg,16 oz energy drink
Glucosamine Sulfate (as KCI),750,mg,A full joint-health capsule
L-Glutathione Reduced,250,mg,10 cups spinach
Magnesium (as Magnesium Citrate),150,mg,2 cups of spinach
L-Theanine,200,mg,8-10 cups green tea
Vitamin C,250,mg,3.5-4 oranges